"I","L","S","% T","% TL","% P","% PL","% NULL"
168,100,10,32.9963553687692,18.8131150458737,41.7118571084088,5.72152961980548,0
168,100,50,29.2688072693284,21.9333597262911,43.9044925200464,4.82191191290555,0
168,100,100,30.3472676569162,21.0354383639712,43.8690189299716,4.50512238859705,0.243152660543965
168,100,150,31.1152804587803,19.2373873467657,44.046526614078,4.86971681039113,0.610094505212473
168,100,200,30.271671285679,20.1555877537414,44.4697837662055,4.68328118296592,0.419676011408165
270,100,10,29.7269478207655,10.3557561583146,52.8049884272588,7.11230759366114,0
270,100,50,33.7172612200016,12.8297384006625,44.3917067047479,8.05851431123403,1.00277936335399
270,100,100,31.9476340750944,16.6132100277141,42.7898773337131,6.84552112239318,1.77518601251374
270,100,150,32.1263715146259,15.7796804038586,44.003367498168,6.60673101375683,1.3865479822891
270,100,200,31.2292852992056,17.3815576600356,44.64736518942,5.89866158445854,0.843130266880205
500,100,10,34.2782055032509,6.07280426403685,46.5924136208732,8.26297007316628,4.79360653867279
500,100,50,34.71462553981,10.0866414942092,42.0055979997457,8.15880713480454,5.03432783143055
500,100,100,34.2226681801561,10.2538789416948,41.5177977641862,6.50089792733396,7.50475718662892
500,100,150,34.1517653353847,12.4180296554815,39.6051832976944,6.26744367451206,7.55757803692732
500,100,200,34.1616878560096,10.4708196051432,42.2520339610731,6.42091597015383,6.67983672526725
900,100,10,37.004690111777,2.95550317046096,42.2611995748528,8.68707427280715,9.09153287010215
900,100,50,35.2498207647208,5.59668758241301,36.0736008851551,5.79288484111947,17.2870059265916
900,100,100,36.4884833277205,7.18917637272212,33.5775890985058,3.59191139449117,19.1528398065605
900,100,150,37.3079708111776,6.64252498196746,32.3885099502396,3.35138157834712,20.3096126782682
900,100,200,37.2710207377636,7.00838642463723,32.9116281469169,3.43398213733814,19.3749825533441
1500,100,10,42.2450232629763,3.72493677691196,32.0927391286694,9.23811703583026,12.6991837956121
1500,100,50,39.1354635951818,5.2428847493047,23.6925342734303,4.2597371622181,27.6693802198651
1500,100,100,40.0489041469162,4.96030967830208,21.0509371304593,1.52093099439698,32.4189180499255
1500,100,150,39.7860661281705,5.58722606373028,21.9782103344605,1.86923648775029,30.7792609858884
1500,100,200,38.4160550224088,6.47834427461599,20.6750067900922,2.81138169421813,31.6113997186648
