"I","L","S","% T","% TL","% P","% PL","% Null"
168,100,10,35.8824468634813,16.2841664083043,41.9560910354014,5.87729569281293,0
168,100,50,29.2544460690565,22.1675011463433,44.4862421429725,4.0918106416278,0
168,100,100,30.4452894311744,20.9718081241045,43.4209791356764,4.92009339982346,0.241829909221214
168,100,150,31.1152804587803,19.2373873467657,44.046526614078,4.86971681039113,0.610094505212473
168,100,200,30.271671285679,20.1555877537414,44.4697837662055,4.68328118296592,0.419676011408165
270,100,10,31.703263034801,8.10166316650129,48.842772664241,11.3523011344567,0
270,100,50,34.2330145739748,12.4662660424338,43.5897766100582,8.07488161698664,1.63606115654665
270,100,100,31.9476340750944,16.6132100277141,42.7898773337131,6.84552112239318,1.77518601251374
270,100,150,32.1263715146259,15.7796804038586,44.003367498168,6.60673101375683,1.3865479822891
270,100,200,31.604148493318,17.1408339697319,43.9453658138294,6.25613160259947,1.0535201205213
500,100,10,34.6798266586313,5.46250577173497,45.3516012521508,11.4057432515626,3.10032306592024
500,100,50,35.0640832743235,10.0705013379861,41.0933856170401,7.99980688117749,5.77222288947281
500,100,100,34.1525155384733,10.3687931786347,41.0711347211187,6.65775269511165,7.74980386666167
500,100,150,34.3950420087218,12.1895287458364,39.6100760498787,6.53232457356353,7.27302862199957
500,100,200,34.3865637725436,10.2936142914406,41.8476908089502,6.56875952038097,6.90337160668457
900,100,10,38.5526499971297,1.21146485373572,39.1370889727635,11.6451818126771,9.45361436369411
900,100,50,35.7805374611255,5.16380794882595,35.5409772738291,5.96391662177393,17.5507606944455
900,100,100,36.4249359620954,7.25046324496904,33.8837200434637,3.56486557560287,18.876015173869
900,100,150,37.4468858275676,6.53476689329924,31.9664682856943,3.48931665148924,20.5625623419496
900,100,200,37.4900873414712,7.00564983142326,32.4981310523631,3.21542991646866,19.7907018582737
1500,100,10,43.226603618729,2.09483034406174,33.616393261653,9.90394357316354,11.1582292023927
1500,100,50,39.1354635951818,5.2428847493047,23.6925342734303,4.2597371622181,27.6693802198651
1500,100,100,40.0664480065653,4.92682753544494,21.0614321179279,1.505619277605,32.4396730624568
1500,100,150,40.1398563257048,5.24114956272674,21.9409252314902,1.56223848805987,31.1158303920184
1500,100,200,39.5034800001782,5.12645901901737,22.6350732190264,1.75120176780507,30.983785993973
