"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,4.34687414681378,1.58604990124048,22.9223305514671,5.98931564030598,65.1554297601726
270,16,10,6,4.15734002778657,1.30736682178947,20.9451193997432,4.40979818943196,69.1803755612488
500,16,10,6,5.1484161490556,0.407036702337275,18.591369007755,1.91927921611259,73.9338989247395
900,16,10,6,4.76808123891376,0.384141809178053,15.6961725140953,1.02963501229968,78.1219694255132
1500,16,10,6,4.52389849011148,0.154580932833622,13.1552161028653,0.641512233267952,81.5247922409216
168,16,20,11,6.30364530449675,3.06440900423146,31.380041585468,17.1857042474616,42.0661998583422
270,16,20,11,6.78219472345881,2.58103434130268,30.7089078039855,12.927858557772,47.000004573481
500,16,20,11,8.6161734751123,2.10899105742055,29.4184572517625,6.8106864458332,53.0456917698715
900,16,20,11,8.47871434960299,0.714275570520689,24.71785444593,4.15847094711109,61.9306846868353
1500,16,20,11,9.06534121729544,0.470532312907417,21.1054410261727,2.52665818655138,66.8320272570731
168,16,35,20,7.24175981038496,5.07934610940017,30.3790812138433,36.165671480945,21.1341413854266
270,16,35,20,8.40794221321453,4.79048613964548,33.1433204606747,28.6883646104065,24.9698865760587
500,16,35,20,11.1487835608008,4.34589360104398,36.800658335103,18.0579674993593,29.6466970036929
900,16,35,20,11.0906446945939,1.8446688744417,32.9201422789536,11.8463093670575,42.2982347849532
1500,16,35,20,12.5635005362035,0.875230774683541,30.1262965583374,8.01394774346053,48.421024387315
