"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,16,10,16.2831643285285,3.53876040860272,75.4232527554454,3.04135781120012,1.71346469622332
168,16,50,17.8259927067635,4.07994991230712,71.6141130443946,3.56112287068809,2.91882146584664
168,16,100,18.8621067098623,2.85384369736094,70.4812292746893,2.99825873352304,4.80456158456438
168,16,150,15.4045122024028,2.60142042007376,71.0534700109607,7.0051987614097,3.93539860515298
168,16,200,16.640631878969,4.07953762427079,65.9751090367337,9.75281444137104,3.5519070186555
270,16,10,16.9580055975166,2.81404608700434,72.9469978909821,1.71101578397404,5.56993464052288
270,16,50,18.4139874010426,0.970969857082389,75.6832993750445,1.65547900522325,3.27626436160724
270,16,100,19.5014683062677,2.57065769567153,71.0714185463953,2.3947506979162,4.46170475374926
270,16,150,17.4971548234622,3.28761176340452,69.5842539854243,4.68385802641928,4.94712140128968
270,16,200,17.733970817664,2.69300370244067,67.295930780221,9.46557721704866,2.81151748262565
500,16,10,24.7818365479623,2.21414141414141,67.3535242046398,2.58451178451178,3.06598604874467
500,16,50,20.3460710119627,1.61821560113422,74.3435083871594,1.10501786555292,2.58718713419072
500,16,100,19.485257719605,2.68304284674589,72.5892622683261,2.22650676932965,3.0159303959934
500,16,150,20.3118616533064,2.55740769405924,70.4942044315926,3.82631676143624,2.81020945960552
500,16,200,20.8762311234504,2.61678752254468,69.6870582813235,4.52893585078634,2.29098722189509
900,16,10,22.9978615164785,0,74.5417324034345,0,2.46040608008693
900,16,50,24.8481513702162,1.51823550856412,71.2169321790026,0.839109936702102,1.57757100551504
900,16,100,23.5016852436194,2.27883842922594,71.4976981663412,1.31791712758834,1.40386103322518
900,16,150,24.8243152791622,1.96595736761709,69.9807201940343,1.7581991568764,1.47080800230991
900,16,200,12.8316926793052,8.87961103385196,38.5396704678215,36.3325087429545,3.41651707606685
1500,16,10,26.0827156526163,0.716447149778734,71.856203089813,0,1.344634107792
1500,16,50,28.2496014946777,0.987825505031826,69.1249068045735,0.0777358490566038,1.55993034666041
1500,16,100,26.9015983487212,1.68027790429691,68.7397649275861,0.848913579899255,1.82944523949648
1500,16,150,27.0361074092587,2.02622376623912,68.1960506637618,1.33835402510606,1.4032641356343
1500,16,200,18.6055672794424,6.56206333822341,48.2501681165144,22.5119052114546,4.07029605436506
