I,L,BLS,ALS,Full,P1,P2,P3,Null
168,16,10,6,12.3638,8.3011,53.9183,21.5517,3.7199
270,16,10,6,13.2540,7.4648,55.1407,20.9755,3.0229
500,16,10,6,11.3941,10.3602,39.9211,35.4910,2.8229
900,16,10,6,16.3273,8.6819,51.0136,21.5449,2.4118
1500,16,10,6,14.7903,12.8374,38.6733,32.6876,1.0113
168,16,20,11,15.2287,6.4694,65.7118,10.0994,2.4577
270,16,20,11,15.1025,7.2821,60.8996,14.2088,2.4835
500,16,20,11,12.7004,10.6361,43.8513,30.9766,1.8357
900,16,20,11,23.0108,3.0920,70.1561,2.2665,1.4543
1500,16,20,11,21.6509,6.8211,55.9578,14.3954,1.1748
168,16,35,20,16.8463,6.0953,68.7662,5.4525,2.8076
270,16,35,20,17.9145,5.1880,67.9795,5.6352,3.2563
500,16,35,20,21.4966,3.2252,70.3831,2.3308,2.5136
900,16,35,20,24.1027,2.3688,71.1321,0.9038,1.4831
1500,16,35,20,27.1358,1.9905,68.6226,0.8492,1.4020
