name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_30_,168,30,10,172.2548461,3.7,3.77727661,2.088557025,2,355.8248651
Instance_168_30_,168,30,10,314.7878621,4.0205,4.055809337,0.878232473,2,331.546068
Instance_168_30_,168,30,10,404.505389,4.251,4.284370677,0.7850077,2,430.470552
Instance_168_30_,168,30,50,6775.405289,4.669200019,4.712293467,0.922930011,2,10809.70729
Instance_168_30_,168,30,50,9104.480868,4.851200002,4.915963972,1.335009271,2,10810.69235
Instance_168_30_,168,30,50,10811.47101,4.9339,4.977172386,0.877042226,2,10812.50787
Instance_168_30_,168,30,100,10633.80099,4.3768,4.699766963,7.379066049,2,10820.1674
Instance_168_30_,168,30,100,10354.44933,4.59675,4.810945423,4.659714431,2,10819.67987
Instance_168_30_,168,30,100,10816.99055,4.789050001,4.945329547,3.263268203,2,10820.45326
Instance_168_30_,168,30,150,10227.22378,4.151011111,4.871556947,17.35832105,2,10842.63715
Instance_168_30_,168,30,150,247.001225,3.289855556,10.78016667,227.6790268,2,10828.11763
Instance_168_30_,168,30,150,10706.36046,3.359811111,5.106191706,51.97853501,2,10838.39374
Instance_168_30_,168,30,200,406.466444,2.84225,10.22485,259.7449204,2,10841.26415
Instance_168_30_,168,30,200,398.2464211,2.981725,10.22485,242.917271,2,10866.68889
Instance_168_30_,168,30,200,278.771013,3.0325,10.220925,237.0461665,2,10860.56535
Instance_270_30_,270,30,10,2859.818716,5.113000005,5.174119167,1.195367918,2,3473.329525
Instance_270_30_,270,30,10,2164.325588,5.530500003,5.553145594,0.409467351,2,2176.603597
Instance_270_30_,270,30,10,558.1685829,5.7375,5.816344464,1.374195446,2,1176.268518
Instance_270_30_,270,30,50,9948.125066,5.513500003,5.615755154,1.854632294,2,10820.6616
Instance_270_30_,270,30,50,9853.130573,5.765300001,5.826005373,1.052943862,2,10814.08615
Instance_270_30_,270,30,50,9375.605806,5.859400001,5.906687401,0.807034849,2,10815.04414
Instance_270_30_,270,30,100,10637.94315,5.268550001,5.500382566,4.400310624,2,10824.79635
Instance_270_30_,270,30,100,8716.720035,5.47215,5.766302896,5.375453818,2,10838.37596
Instance_270_30_,270,30,100,10823.48689,5.66995,5.816800082,2.589971366,2,10839.65045
Instance_270_30_,270,30,150,10741.31093,3.708211111,5.795758379,56.29526489,2,10859.07501
Instance_270_30_,270,30,150,335.9956102,3.757355556,12.40703333,230.2065282,2,10863.59751
Instance_270_30_,270,30,150,260.8004282,3.828222222,12.40703333,224.0938643,2,11151.81548
Instance_270_30_,270,30,200,586.948652,4.5106,12.520425,177.5778167,2,11134.74584
Instance_270_30_,270,30,200,581.5234327,3.62805,12.520425,245.1006739,2,11375.34964
Instance_270_30_,270,30,200,388.7009292,3.65605,12.520425,242.4577071,2,11184.18592
Instance_500_30_,500,30,10,648.1398809,6.411500007,6.589025911,2.768866935,2,1599.264908
Instance_500_30_,500,30,10,267.2641339,6.963,7.081826633,1.706543632,2,603.9108608
Instance_500_30_,500,30,10,119.3080018,7.091,7.138200804,0.665643832,2,160.984164
Instance_500_30_,500,30,50,10831.76873,6.681800002,6.989211711,4.600731976,2,10833.87939
Instance_500_30_,500,30,50,10554.61649,6.8454,7.213327413,5.37481248,2,10818.61626
Instance_500_30_,500,30,50,10817.10468,7.0882,7.3761723,4.062699975,2,10825.12372
Instance_500_30_,500,30,100,4617.569369,4.85285,7.742086011,59.53689093,2,10862.70424
Instance_500_30_,500,30,100,355.9074659,5.28105,15.8359,199.8627167,2,10854.96778
Instance_500_30_,500,30,100,320.7513499,5.51835,15.84,187.0423224,2,10851.92292
Instance_500_30_,500,30,150,692.7018991,5.164033333,15.66136667,203.2777997,2,11242.2116
Instance_500_30_,500,30,150,549.7618513,5.143322222,15.7076,205.3979378,2,11406.3992
Instance_500_30_,500,30,150,481.502794,5.129266667,15.7076,206.2348094,2,11245.36997
Instance_500_30_,500,30,200,1042.847823,4.6483,15.64435,236.5606781,2,28037.22554
Instance_500_30_,500,30,200,888.4978812,4.880925,15.645075,220.535042,2,13138.87755
Instance_500_30_,500,30,200,799.7068651,4.875825,15.645075,220.8703143,2,13513.21511
Instance_900_30_,900,30,10,353.1701562,8.3555,8.367820751,0.147456776,2,372.3544829
Instance_900_30_,900,30,10,109.3241611,8.562,8.593858044,0.37208647,2,124.2646558
Instance_900_30_,900,30,10,97.87379313,8.637,8.642607292,0.064921751,2,98.35609984
Instance_900_30_,900,30,50,8131.318117,8.7806,8.978214124,2.250576543,2,10839.49114
Instance_900_30_,900,30,50,10794.82236,9.093300001,9.18952284,1.058172919,2,10929.58039
Instance_900_30_,900,30,50,7041.857192,9.2526,9.324162368,0.773429825,2,10886.78268
Instance_900_30_,900,30,100,5586.875608,6.1934,9.276118734,49.77425541,2,10891.40345
Instance_900_30_,900,30,100,6269.75464,6.27595,9.370826012,49.31326751,2,10882.44091
Instance_900_30_,900,30,100,8517.144067,9.3005,9.379937989,0.854126,2,11194.05165
