name,I size,L size,S size,model time,best obj,best bound,gap,status,total time
Instance_168_16_,168,16,10,25.43314385,4.865000007,4.880642857,0.321538536,2,40.79807496
Instance_168_16_,168,16,50,466.090539,4.6625,4.676,0.289544236,2,10801.88461
Instance_168_16_,168,16,100,780.1344221,4.74895,4.76605,0.360079597,2,10806.11293
Instance_168_16_,168,16,150,1762.989999,4.507144451,4.523713357,0.367614263,2,10806.10882
Instance_168_16_,168,16,200,1975.722153,4.674450001,4.70425,0.637508139,2,10808.407
Instance_270_16_,270,16,10,31.32700682,5.275000005,5.290020021,0.284739641,2,64.69125819
Instance_270_16_,270,16,50,608.4063351,5.7555,5.7645,0.156372166,2,10802.77282
Instance_270_16_,270,16,100,4160.406778,5.52095,5.53285,0.215542615,2,10805.04194
Instance_270_16_,270,16,150,10806.75412,5.691055556,5.699260465,0.144172011,2,10808.49786
Instance_270_16_,270,16,200,4723.471545,5.5944,5.608845373,0.258211301,2,10813.40357
Instance_500_16_,500,16,10,18.69974303,7.235000009,7.248916667,0.192351862,2,49.27810097
Instance_500_16_,500,16,50,10803.54821,7.3095,7.3145,0.068404132,2,10804.18995
Instance_500_16_,500,16,100,2422.634699,7.20935,7.215949901,0.091546413,2,10808.36332
Instance_500_16_,500,16,150,5415.642249,7.307555558,7.313564218,0.082225311,2,10810.99036
Instance_500_16_,500,16,200,7585.966312,7.87555,7.885242056,0.123065133,2,10815.42322
Instance_900_16_,900,16,10,27.3973577,8.283000007,8.304875003,0.264095074,2,170.579412
Instance_900_16_,900,16,50,202.932137,9.1025,9.1165,0.1538039,2,489.5265541
Instance_900_16_,900,16,100,10811.93885,9.04355,9.04715,0.039807377,2,10813.79242
Instance_900_16_,900,16,150,6128.820914,9.021711111,9.025722661,0.04446551,2,10816.0953
Instance_900_16_,900,16,200,7299.54273,9.15,9.16385,0.15136612,2,10818.75899
Instance_1500_16_,1500,16,10,18.01695609,9.954000007,9.97486582,0.209622388,2,38.09247112
Instance_1500_16_,1500,16,50,261.0193148,11.163,11.2095,0.41655469,2,627.0520718
Instance_1500_16_,1500,16,100,3126.133774,10.40415,10.40975,0.053824676,2,10813.61334
Instance_1500_16_,1500,16,150,10814.91916,11.03492222,11.04884663,0.126184911,2,10818.25412
Instance_1500_16_,1500,16,200,6655.84144,10.8138,10.917,0.954336126,2,10824.1193
